,Symbol,Close,sma,ema
0,21STCENMGM,22.95,22.535,22.588151005824333
0,5PAISA,324.5,319.6925,322.98293833163626
0,A2ZINFRA,11.3,10.9675,11.01918355288687
0,AARVI,183.55,179.5,179.28338041617945
0,AAVAS,1985.55,1926.1300000000003,1942.3462354662029
0,ABAN,54.05,50.0875,50.91538557165361
0,ABBOTINDIA,20672.8,20277.4675,20250.66778313941
0,ABCAPITAL,152.75,146.91500000000002,147.7064468858028
0,ABSLAMC,453.25,436.57249999999993,440.74173077843244
0,ACC,2616.75,2572.395,2576.592392525007
0,ACCELYA,1553.3,1583.5224999999998,1552.104164221005
0,ACEINTEG,57.15,57.8325,56.39506193660369
0,ADANIENT,3980.8,3971.0975000000008,3951.7637021782966
0,ADFFOODS,828.35,807.0425000000001,809.4156181337564
0,ADROITINFO,29.05,23.395,24.83902333096461
0,ADVANIHOTR,82.85,81.08250000000001,81.88946314646198
0,ADVENZYMES,301.75,294.54749999999996,298.8163749566026
0,AEGISCHEM,358.2,334.22249999999997,335.98590115642025
0,AGI,320.3,304.9375,311.63693582038337
0,AGRITECH,103.95,99.51249999999999,102.64804892754789
0,AGROPHOS,49.5,39.565,40.00246409667359
0,AHLUCONT,472.95,448.99500000000006,454.4309258807297
0,AKSHAR,67.05,51.057500000000005,54.650008713233554
0,ALLCARGO,441.05,442.75249999999994,436.11711826707057
0,ALPA,61.1,58.375,59.3707798879652
0,ALPSINDUS,2.35,2.3,2.3029376025482913
0,AMBER,2009.95,1992.0549999999998,2004.7235991572652
0,AMJLAND,29.65,28.932499999999994,29.244013733190894
0,ANDHRSUGAR,135.05,131.65250000000003,132.7658957334606
0,ANDREWYU,32.65,26.202500000000004,26.482256861073765
0,ANKITMETAL,6.05,5.9799999999999995,6.039103668070208
0,ANTGRAPHIC,0.9,0.8300000000000001,0.8483926947816102
0,APARINDS,1679.3,1571.96,1597.220367747085
0,APOLLOPIPE,537.05,499.4025,506.3194223636826
0,APOLLOTYRE,323.05,309.76750000000004,311.81658893074905
0,ARCHIES,26.75,25.1275,24.849324228433588
0,ARENTERP,45.55,38.69,41.12414748836432
0,ARIES,176.8,147.20250000000001,151.54629678168834
0,AROGRANITE,48.9,44.7675,45.26597324423391
0,ARTEMISMED,77.8,77.8475,77.4323429962746
0,ARVEE,145.1,113.7375,117.92818430152637
0,ARVSMART,277.35,270.96000000000004,272.89560126048895
0,ASHIMASYN,17.05,15.594999999999999,15.900390278342304
0,ASHOKA,82.2,79.555,80.44127804880733
0,ASTRAL,2051.4,1983.9675,2024.1934830855791
0,ASTRAZEN,3397.6,3347.9425,3358.661727757595
0,ATFL,826.4,808.8824999999999,812.4906285015543
0,AUBANK,667.05,650.0174999999999,652.6089963645393
0,AUTOAXLES,2010.5,1983.2,1975.2775451424243
0,AVADHSUGAR,544.55,515.4325,517.0146144485952
0,AXISBANK,935.1,908.3025,914.6616467495211
0,BAJAJELEC,1158.8,1114.5924999999997,1127.4484585476528
0,BAJAJHCARE,426.2,413.05,413.605865101333
0,BAJAJHIND,17.15,13.5575,14.117094887802873
0,BALAJITELE,47.95,47.2,47.7823249787331
0,BALKRISIND,2123.8,2050.4100000000003,2059.51288252876
0,BALMLAWRIE,125.2,122.63249999999998,122.11677090624873
0,BALRAMCHIN,393.9,376.2525,373.43400451000514
0,BANARBEADS,83.6,82.67249999999999,82.70918065339795
0,BANDHANBNK,247.3,236.14750000000004,242.4195226126534
0,BANKBARODA,182.0,176.07750000000001,177.0655886375231
0,BANKINDIA,91.05,88.23499999999999,88.22074822653744
0,BANSWRAS,126.3,120.4025,121.57850021910458
0,BAYERCROP,4830.2,4651.352499999999,4690.0051316164045
0,BBL,2517.2,2370.745,2394.545293998852
0,BCLIND,384.75,367.06,370.7383421196256
0,BEARDSELL,25.25,22.762499999999996,23.19918628440014
0,BECTORFOOD,434.5,431.96000000000004,430.120719298253
0,BGRENERGY,71.75,69.155,70.55652695989487
0,BHANDARI,6.25,5.89,5.995185468193097
0,BHARATFORG,882.15,858.7450000000001,864.829118889512
0,BIKAJI,385.05,389.3425,383.1325215417793
0,BIL,216.95,213.06750000000002,214.4390158647382
0,BIRLACORPN,1043.85,978.3774999999999,990.4689071713574
0,BIRLAMONEY,63.05,61.575,62.08721419421072
0,BLBLIMITED,22.25,21.1175,21.65241495502532
0,BLKASHYAP,32.25,30.4875,31.395284365648422
0,BLUEDART,7601.9,7495.147499999999,7529.411803563888
0,BLUESTARCO,1260.7,1235.4075,1242.983944959035
0,BOSCHLTD,17470.2,17109.297500000004,17176.688072316247
0,BPCL,341.75,334.18499999999995,334.586402323274
0,BRITANNIA,4444.7,4335.397499999999,4324.507630126861
0,BRNL,43.9,39.7025,40.32844383355726
0,BSE,591.15,574.4849999999999,579.5624694088694
0,BSL,205.25,179.915,184.82139139387155
0,BURNPUR,5.95,5.345000000000001,5.509414367759407
0,BYKE,45.6,42.045,43.120244945631526
0,CANTABIL,1272.55,1137.0425,1167.2563074480138
0,CAPACITE,147.9,142.5325,145.12515163569392
0,CARBORUNIV,885.95,846.7,854.7160217659863
0,CARERATING,588.05,561.1050000000001,564.0656134976371
0,CARTRADE,505.8,495.03499999999997,503.67716730887565
0,CEATLTD,1822.25,1840.0475000000001,1818.6237136269885
0,CENTRALBK,37.35,29.4675,30.849177629225064
0,CENTUM,620.1,568.76,586.4389351243544
0,CESC,80.25,76.1275,77.15355529920765
0,CGPOWER,278.3,278.35749999999996,276.63088509667494
0,CHAMBLFERT,315.25,305.25250000000005,308.82047584820907
